[Aug 18, 2017 | 19:19:46] [DEBUG] 01/01, , , 
[Aug 18, 2017 | 19:22:00] [DEBUG] 01/01, , , 
[Aug 18, 2017 | 19:23:17] [DEBUG] 01/01, , , 
[Aug 18, 2017 | 19:24:19] [DEBUG] 01/01, , , 
[Aug 18, 2017 | 19:26:20] [DEBUG] 01/01, , , 
[Aug 18, 2017 | 19:26:40] [DEBUG] 01/01, , , 
[Aug 18, 2017 | 19:28:25] [DEBUG] 01/01, , , 
[Aug 18, 2017 | 19:28:59] [DEBUG] 01/01, , , 
[Aug 18, 2017 | 19:29:36] [DEBUG] 01/01, , , 
[Aug 18, 2017 | 19:30:18] [DEBUG] 01/01, , , 
[Aug 18, 2017 | 19:31:01] [DEBUG] 01/01, , , 
[Aug 18, 2017 | 19:31:34] [DEBUG] 01/01, , , 
[Aug 18, 2017 | 19:32:05] [DEBUG] 01/01, , , 
[Aug 18, 2017 | 19:33:22] [DEBUG] 01/01, , , 
[Aug 18, 2017 | 19:34:09] [DEBUG] 01/01, , , 
[Aug 18, 2017 | 19:35:03] [DEBUG] 01/01, , , 
[Aug 18, 2017 | 19:36:45] [DEBUG] 01/01, 01/02, , 
[Aug 18, 2017 | 19:37:55] [DEBUG] 01/01, 01/02, , 
[Aug 18, 2017 | 19:39:03] [DEBUG] 01/01, 01/02, , 
[Aug 18, 2017 | 19:39:59] [DEBUG] 01/01, 01/02, , 
[Aug 18, 2017 | 19:40:16] [DEBUG] 01/01, 01/02, , 
[Aug 19, 2017 | 13:55:58] [DEBUG] 01/01, 01/02, , 
[Aug 19, 2017 | 13:57:26] [DEBUG] 01/01, 01/02, , 
[Aug 19, 2017 | 13:57:50] [DEBUG] 01/01, 01/02, , 
[Aug 19, 2017 | 14:54:46] [DEBUG] 01/01, 01/02, , 
[Aug 19, 2017 | 14:55:05] [DEBUG] 01/01, 01/02, , 
[Aug 19, 2017 | 14:55:16] [DEBUG] 01/01, 01/02, , 
[Aug 19, 2017 | 14:55:32] [DEBUG] 01/01, 01/02, , 
[Aug 19, 2017 | 15:02:07] [DEBUG] 01/01, 01/02, , 
[Aug 19, 2017 | 15:02:15] [DEBUG] 01/01, 01/02, , 
[Aug 19, 2017 | 15:02:41] [DEBUG] , , , 
[Aug 19, 2017 | 15:02:53] [DEBUG] , , , 
[Aug 19, 2017 | 15:03:01] [DEBUG] , , , 
[Aug 19, 2017 | 15:03:08] [DEBUG] , , , 
[Aug 19, 2017 | 15:04:07] [DEBUG] , , , 
[Aug 19, 2017 | 15:04:38] [DEBUG] , , , 
[Aug 19, 2017 | 15:09:05] [DEBUG] , , , 
[Aug 19, 2017 | 15:09:56] [DEBUG] , , , 
[Aug 19, 2017 | 15:10:56] [DEBUG] , , , 
[Aug 19, 2017 | 15:11:47] [DEBUG] , , , 
[Aug 19, 2017 | 15:11:59] [DEBUG] , , , 
[Aug 19, 2017 | 15:12:17] [DEBUG] , , , 
[Aug 19, 2017 | 15:12:32] [DEBUG] , , , 
[Aug 22, 2017 | 19:23:34] [DEBUG] , , , 
[Aug 23, 2017 | 00:25:24] [DEBUG] , , , 
[Aug 23, 2017 | 00:25:56] [DEBUG] , , , 
[Aug 23, 2017 | 00:26:16] [DEBUG] , , , 
[Aug 23, 2017 | 00:26:53] [DEBUG] , , , 
[Aug 23, 2017 | 00:27:05] [DEBUG] , , , 
[Aug 23, 2017 | 00:33:18] [DEBUG] , , , 
[Aug 23, 2017 | 22:46:27] [DEBUG] , , , 
[Aug 23, 2017 | 22:48:07] [DEBUG] , , , 
[Aug 23, 2017 | 22:50:38] [DEBUG] 09/06, 09/07, , 
[Aug 23, 2017 | 22:50:38] [DEBUG] , , , 
[Aug 23, 2017 | 22:50:38] [DEBUG] 09/06, 09/07, , 
[Aug 23, 2017 | 22:50:38] [DEBUG] , , , 
[Aug 23, 2017 | 22:50:38] [DEBUG] 09/06, 09/07, , 
[Aug 23, 2017 | 23:06:06] [DEBUG] 09/06, 09/07, , 
[Aug 23, 2017 | 23:11:18] [DEBUG] 09/06, 09/07, , 
[Aug 23, 2017 | 23:12:30] [DEBUG] 09/06, 09/07, , 
[Aug 24, 2017 | 01:02:24] [DEBUG] 09/06, 09/07, , 
[Aug 24, 2017 | 01:10:53] [DEBUG] 09/06, 09/07, , 
[Aug 24, 2017 | 01:12:32] [DEBUG] 09/06, 09/07, , 
[Aug 24, 2017 | 01:14:11] [DEBUG] 09/06, 09/07, , 
[Aug 24, 2017 | 01:16:22] [DEBUG] 09/06, 09/07, , 
[Aug 24, 2017 | 01:17:53] [DEBUG] 09/06, 09/07, , 
[Sep 02, 2017 | 11:51:17] [DEBUG] 09/06, 09/07, , 
[Sep 03, 2017 | 12:55:36] [DEBUG] 09/06, 09/07, , 
[Sep 03, 2017 | 12:56:47] [DEBUG] 09/06, 09/07, , 
[Sep 03, 2017 | 14:17:54] [DEBUG] 09/06, 09/07, , 
[Sep 03, 2017 | 14:18:17] [DEBUG] 09/06, 09/07, , 
[Sep 03, 2017 | 14:20:32] [DEBUG] 09/06, 09/07, , 
[Sep 03, 2017 | 14:20:44] [DEBUG] 09/06, 09/07, , 
[Sep 03, 2017 | 14:21:17] [DEBUG] 09/06, 09/07, , 
[Sep 03, 2017 | 14:22:35] [DEBUG] 09/06, 09/07, , 
[Sep 03, 2017 | 14:23:27] [DEBUG] 09/06, 09/07, , 
[Sep 03, 2017 | 18:22:48] [DEBUG] 09/06, 09/07, , 
[Sep 03, 2017 | 19:57:07] [DEBUG] 09/06, 09/07, , 
[Sep 03, 2017 | 19:57:36] [DEBUG] 09/06, 09/07, , 
[Sep 03, 2017 | 19:58:18] [DEBUG] 09/06, 09/07, , 
[Sep 03, 2017 | 19:58:58] [DEBUG] 09/06, 09/07, , 
[Sep 03, 2017 | 22:51:49] [DEBUG] 09/06, 09/07, , 
[Sep 03, 2017 | 23:24:56] [DEBUG] 09/06, 09/07, , 
[Sep 03, 2017 | 23:37:40] [DEBUG] 09/06, 09/07, , 
[Sep 03, 2017 | 23:38:31] [DEBUG] 09/06, 09/07, , 
